## Torsion are defined with the following atomIDs:
# dihed1: ai= 2462 aj= 2461 ak= 2460 al= 2458
# dihed2: ai= 2455 aj= 2454 ak= 2453 al= 2451
# dihed3: ai= 2454 aj= 2453 ak= 2451 al= 2450
# dihed4: ai= 2453 aj= 2451 ak= 2450 al= 2449
# dihed5: ai= 2436 aj= 2435 ak= 2434 al= 2431
# dihed6: ai= 2447 aj= 2436 ak= 2437 al= 2439
# dihed7: ai= 2436 aj= 2437 ak= 2439 al= 2440
# dihed8: ai= 2430 aj= 2429 ak= 2428 al= 2427
# dihed9: ai= 2429 aj= 2428 ak= 2427 al= 2423
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9
219  -28.616 -101.487  -19.170  126.551  -91.575    0.805   90.067  -69.801  110.181
220 -104.017 -105.922   -2.090  116.412 -100.845  -36.082   96.963  -40.727  109.376
221  -89.580 -115.668  -12.138  112.998  -89.025   12.075   70.479  -25.799  174.181
222  -91.389 -111.035  -15.098  127.942  -98.182   37.537   51.547  -29.429  105.415
223  -54.902  -84.026  -25.284  132.144 -116.442  -27.661  118.266  -17.110   87.208
224  -60.469 -126.495   -8.404  117.350  -99.957  -13.207  104.969  -28.389  120.298
225   61.055 -116.920  -10.846  130.597  -91.285  -25.134  122.476  -60.487  101.194
226   61.956 -118.935  -13.158  113.630  -90.565  -32.762  125.241   -5.887 -175.572
227   41.739  -95.509  -22.591  128.082  -98.245    5.106   79.337    4.692  165.021
228   48.099  -97.540   -8.981  121.531  -95.497  -12.924  106.141  -40.651  101.359
229   58.315 -117.500  -13.435  111.682  -98.527   12.890   71.823    0.320 -170.678
230   61.140 -124.274   -1.113  103.551  -87.585    0.298   99.545   -9.794  179.885
231   80.582  -94.911  -31.694  135.984  -90.361   19.829   71.625  -53.871  125.550
232  -88.421 -100.334  -20.477  120.699  -85.704   11.820   81.172  -43.174  116.857
233  -66.546 -107.460  -24.325  111.994  -86.381  -11.448  110.025  -58.320   84.773
234  -63.975 -107.494  -16.883  122.456  -89.359   12.129   76.973  -64.400  158.388
235  -64.234  -87.105  -31.216  126.024  -61.099   -5.912   93.672 -131.822  101.123
236 -174.972  -95.390  -21.221  136.204  -70.832  -10.790  106.921 -109.974  150.798
