  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      486        3.161        5.196            0      472.855      404.121       49.507
      487        3.484        4.845            0      463.256      432.939       52.809
      488        3.326        4.968            0      464.630      388.974       55.504
      489        3.323        4.865            0      458.099      412.338       59.209
      490        3.365        4.997            0      469.012      390.248       53.535
      491        3.371        4.941            0      462.871      423.527       58.438
      492        3.323        5.110            0      470.326      411.595       55.760
      493        3.247        5.118            0      459.742      392.902       52.359
      494        3.366        5.106            0      461.590      424.315       54.285
      495        3.419        4.962            0      468.613      454.917       55.675
      496        3.399        4.923            0      461.899      422.556       53.394
      497        3.361        4.885            0      470.739      424.548       50.574
      498        3.258        5.121            0      471.601      431.912       55.216
      499        3.247        5.142            0      477.325      466.705       55.248
      500        3.349        5.063            0      468.927      429.366       55.489
      501        3.360        5.005            0      464.047      416.589       56.995
      502        3.218        5.119            0      459.560      413.133       50.144
      503        3.211        5.145            0      466.897      449.428       53.462
      504        3.173        5.223            0      464.741      416.236       53.431
      505        3.424        4.918            0      456.570      443.886       56.059
      506        3.134        5.064            0      460.431      438.116       56.769
      507        3.374        5.123            0      466.530      415.773       58.675
      508        3.394        4.859            0      454.376      380.842       54.922
      509        3.408        5.120            0      472.481      413.152       55.586
      510        3.478        4.930            0      464.311      377.882       57.230
