## Torsion are defined with the following atomIDs:
# dihed1: ai= 2428 aj= 2429 ak= 2430 al= 2431
# dihed2: ai= 2431 aj= 2432 ak= 2433 al= 2434
# dihed3: ai= 2435 aj= 2438 ak= 2439 al= 2440
# dihed4: ai= 2443 aj= 2444 ak= 2445 al= 2447
# dihed5: ai= 2444 aj= 2445 ak= 2447 al= 2448
# dihed6: ai= 2448 aj= 2447 ak= 2449 al= 2450
# dihed7: ai= 2450 aj= 2449 ak= 2451 al= 2452
# dihed8: ai= 2459 aj= 2460 ak= 2461 al= 2464
# dihed9: ai= 2453 aj= 2454 ak= 2455 al= 2458
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9
204  109.146   69.940 -168.059 -138.110   48.018 -166.718   90.948  119.754 -134.120
205  104.364   60.022 -179.130 -109.256    2.623 -148.701   61.005   28.246   81.756
206   88.043   68.202  166.002 -134.775   59.572 -159.351   49.461  176.381  -44.134
207  107.046   56.787 -176.768 -152.723   57.486 -170.900  107.224  -37.983   79.252
208   91.216   46.425 -166.539 -145.083   48.289 -165.239  100.662  -73.188   46.500
209  112.124   62.497  179.617 -147.868   46.058 -166.335   87.821   77.078 -153.486
210  117.309   50.718  168.060 -149.143   51.802 -163.123   96.404  -80.809 -106.778
211  104.589   75.691 -175.037 -121.151   48.375 -164.610  114.517  -65.351   22.697
212  103.194   54.972  172.385 -149.480   51.148 -150.341   64.400   42.934   17.468
213   99.906   47.105  175.483 -152.172   45.642 -168.225  112.465  167.961 -117.477
214  103.810   54.107  165.803 -142.419   51.970 -174.809   98.267  174.414   -0.118
215  112.524   48.051 -174.850 -154.214   71.189 -170.593   95.528 -179.361   69.430
216  108.866   69.347  172.568 -130.116   41.783 -170.881  101.513  -47.873 -102.223
217  114.148   50.306 -164.831 -145.374   41.161 -159.994   89.905  -56.723  168.438
218  103.399   67.684 -155.582 -121.942   40.209 -159.447   93.937   -4.533  124.007
219  102.271   67.772 -175.944 -155.857   49.707 -160.016   91.699  -59.682  -70.636
220   98.233   72.031  169.058 -139.245   48.318 -171.545  106.638  -78.172  -51.261
221  102.688   50.923 -177.617 -161.331   51.078 -169.582   94.955  -35.712   -6.439
222  110.932   60.923  179.701 -151.206   61.964 -170.754   93.868  -89.069  -51.460
223   94.640   28.587  178.815 -144.641   54.538 -178.811  110.489   52.955 -158.254
224  104.758   54.547  166.425 -151.223   52.606 -158.781  103.677   72.202  110.451
225  104.795   41.419  163.221 -147.392   44.577 -161.789   79.324  -11.199   52.112
226  100.347   62.207 -148.667 -154.250   64.204 -171.894   93.103  -69.954  166.622
