## Torsion are defined with the following atomIDs:
# dihed1: ai= 2464 aj= 2463 ak= 2462 al= 2461
# dihed2: ai= 2463 aj= 2462 ak= 2461 al= 2460
# dihed3: ai= 2462 aj= 2461 ak= 2460 al= 2451
# dihed4: ai= 2452 aj= 2451 ak= 2450 al= 2448
# dihed5: ai= 2451 aj= 2450 ak= 2448 al= 2440
# dihed6: ai= 2450 aj= 2448 ak= 2440 al= 2441
# dihed7: ai= 2441 aj= 2440 ak= 2439 al= 2438
# dihed8: ai= 2439 aj= 2440 ak= 2441 al= 2442
# dihed9: ai= 2440 aj= 2441 ak= 2442 al= 2443
# dihed10: ai= 2441 aj= 2442 ak= 2443 al= 2444
# dihed11: ai= 2446 aj= 2443 ak= 2444 al= 2445
# dihed12: ai= 2444 aj= 2443 ak= 2446 al= 2447
# dihed13: ai= 2440 aj= 2439 ak= 2438 al= 2435
# dihed14: ai= 2434 aj= 2433 ak= 2432 al= 2431
# dihed15: ai= 2430 aj= 2425 ak= 2426 al= 2427
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10  dihed11  dihed12  dihed13  dihed14  dihed15
63  -48.414  163.978 -172.646   80.761  146.369   19.139 -128.087   86.694 -177.358   76.101   70.794  -83.872   28.664  -46.717  125.384
64  -51.191  170.950 -163.940   77.169  145.581   12.329 -132.083   90.650  171.284  114.380  172.000 -160.917   61.794 -122.670  -92.840
65  -46.711  165.475 -159.260   94.615  126.085    7.366 -118.460   64.342  169.754  164.720  141.065  -81.154    9.071  -42.953   97.962
66  -77.125  169.598 -145.132  106.036  144.252   11.365 -143.721   86.727 -175.769  112.380  165.285 -174.361   60.624  -33.307  143.858
67  -46.618  166.652  179.703   81.159  153.512   -3.217 -115.802   95.158 -171.624  103.292  163.513 -168.497   12.975  -36.445   55.165
68  -90.438 -178.520 -179.121   90.863  156.179    8.026 -133.824   91.524 -175.248  108.594  156.163 -167.515   79.852 -142.824  166.279
69  -43.016  172.612 -164.172   96.058  148.202    7.732 -146.868   93.843  172.626  119.764  143.847 -171.928   35.808  -54.579  -39.534
70  -62.113 -177.172 -149.388   94.678  151.812    1.155 -126.170   84.408 -175.111  140.824  145.868 -171.698   17.909  -35.402   17.392
71  -74.673  161.291 -146.018   79.373  157.040    4.731 -128.751   99.633 -175.604  104.036  164.010  179.929   40.568  -50.967   50.552
72  -87.641 -164.901  169.173   88.714  150.785   13.217 -146.455   92.523 -167.720  113.216  172.744 -175.886   42.340  -64.250  157.327
