## Torsion are defined with the following atomIDs:
# dihed1: ai= 2452 aj= 2449 ak= 2448 al= 2447
# dihed2: ai= 2449 aj= 2448 ak= 2447 al= 2445
# dihed3: ai= 2447 aj= 2448 ak= 2453 al= 2455
# dihed4: ai= 2448 aj= 2447 ak= 2445 al= 2444
# dihed5: ai= 2447 aj= 2445 ak= 2444 al= 2443
# dihed6: ai= 2442 aj= 2439 ak= 2438 al= 2437
# dihed7: ai= 2439 aj= 2438 ak= 2437 al= 2436
# dihed8: ai= 2429 aj= 2428 ak= 2427 al= 2423
# dihed9: ai= 2435 aj= 2430 ak= 2431 al= 2433
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9
276   42.450   62.808  -43.841  179.297  176.387   47.908   79.241  -32.511 -139.718
277   57.836   61.320  -31.721 -166.121  179.354   67.750   84.984  -36.083  137.929
278   26.926   56.253  -45.051 -174.324  175.969   53.480   87.588  -36.292   78.317
279   57.942   78.290  -27.579 -164.638 -169.587   34.981   87.100  -50.195 -119.222
280   51.410   67.466  -29.893 -171.355 -178.472   83.452   94.386  -50.891 -109.218
281   37.206   64.737  -42.653  173.683 -178.770   78.755   93.055  -55.120   70.139
282   45.143   71.903  -26.741 -167.674  159.432   52.856   95.602  -49.695 -122.678
283   61.481   70.957  -35.191 -175.917  166.690   48.518   73.012  -38.298   15.542
284   41.754   82.128  -33.493 -178.370  163.064   56.765   91.826  -51.754   -5.726
285   49.787   70.219  -47.322  168.062 -173.819   70.148   89.486  -55.644  -97.825
286   32.223   69.748  -45.441 -179.020 -167.594   72.393   99.716  -70.197  158.374
287   54.832   55.172  -37.684 -157.040  175.747   78.533   89.237  -57.189  105.291
288   46.539   66.625  -30.818 -159.565  178.303   45.726   81.972  -61.169  -80.187
289   43.216   57.220  -31.965 -173.734  173.036   73.646   91.170  -55.223  -15.379
290   41.174   64.477  -32.588 -168.632  174.228   58.194   98.064  -46.264 -175.687
291   48.168   75.273  -41.665  158.971  171.331   65.822   95.803  -45.018  105.989
292   38.605   79.903  -36.507 -178.718  175.757   55.710   73.548  -47.483 -109.543
293   34.407   75.113  -46.074  170.002  171.144   85.224   92.531  -58.531  -47.308
294   24.782   77.250  -55.778  169.280  171.257   81.846   86.703  -35.356  -71.073
295   27.455   78.047  -51.477  162.352  169.099   74.745   95.589  -52.690  -61.881
296   24.971   79.403  -42.807 -177.629  172.161   66.558   91.582  -37.096   70.862
