## Torsion are defined with the following atomIDs:
# dihed1: ai= 2442 aj= 2443 ak= 2444 al= 2445
# dihed2: ai= 2441 aj= 2440 ak= 2438 al= 2437
# dihed3: ai= 2440 aj= 2438 ak= 2437 al= 2436
# Frame#   dihed1   dihed2   dihed3
753  -58.067  -37.172 -145.969
754  115.777   30.028 -166.665
755  136.264   36.513 -156.288
756   69.839   30.257 -168.508
757  -61.839  -29.817 -173.729
758 -171.889   20.082 -170.535
759  114.560   63.971  174.336
760  169.293   43.033 -179.901
761   50.699   71.696  179.571
762 -133.935   48.120 -165.481
763   21.956   35.511 -175.562
764  161.563  -22.979 -163.181
765  -65.494  -48.514 -160.278
766  122.407  -20.518 -158.682
767   65.189   49.680 -171.103
768  113.041   47.949 -178.875
769  141.117   38.733 -167.144
770  -34.565  -33.760 -177.224
771   75.614  -33.419 -161.181
772  -96.694   -2.051 -159.217
773 -165.946   42.097 -172.761
774   51.748   -1.579 -153.238
775  -62.075   48.984 -175.441
776   11.850  -34.466 -143.077
777   36.607  -34.146 -155.177
778   30.973  -31.554 -156.819
779  -39.505   39.043  170.714
780   38.097   50.210 -178.184
781  -58.359   55.084 -170.294
782   -0.292   45.599  173.067
783  133.955   49.513 -175.419
784 -116.719   45.317  168.524
785    0.295   34.198 -173.849
786  172.291   41.844 -171.928
787   32.338   56.066  177.984
788 -175.325  -46.235 -137.369
789 -144.710  -35.503 -149.878
790  101.005  -32.637 -139.237
791  -80.255   31.972 -153.622
792   10.181   36.765 -154.329
793 -135.705   40.480  177.860
794 -160.840   34.448 -163.630
795  167.581   46.709 -178.685
796  -20.511   36.071  174.079
797  108.807   27.345 -167.435
798   -4.771   59.856  167.501
799   45.031   37.129  173.737
800  -51.901   60.940  169.985
801  -91.709   46.577 -174.493
802  -30.357   60.381 -176.393
803  -87.997   96.689 -166.978
804  115.697   53.057 -152.927
805  -31.169   32.596 -171.732
806  -60.053   18.519 -167.686
807   53.905   51.321 -163.565
808  119.688   59.163 -157.120
809   55.808   71.651 -159.568
810   13.671  138.312 -148.298
811  103.924   45.136 -156.650
812 -126.200   45.514 -166.199
813   -9.557   19.357 -173.827
814   39.110 -123.039 -172.010
815  -94.621 -121.989 -149.688
816    0.653 -116.690 -160.168
817  -95.172 -133.515 -166.925
818   62.625 -152.201 -155.983
819 -150.839 -139.666 -167.038
820  117.836 -150.633 -149.283
821 -110.579 -133.074 -168.719
822  -16.681 -103.973 -158.940
823 -168.363 -146.506 -164.098
824  148.249 -142.267 -177.554
825 -167.326 -144.939 -145.024
826 -171.466 -147.901 -157.436
